cocktailId,cocktailName
539,The King's Ginger Truffles 
540,Tokyo Tea
541,Merry Sherry Cobbler
542,Junipero Jolly
543,The Italian Diplomat
544,Pacific Kick
545,San Fran Soda
546,Wooster 53
547,Bachelor's Bait
548,Mother Superior
549,Mayan Decadence
550,The Southside
551,Lychee & 3
552,Across The Pond
553,California's Callin'
554,Morlacco Julep
555,The No.3 Winter Cup
556,The Improved Sazerac
557,White Lady
558,King's Medicine
559,Nikka Earl Grey
560,Paradiso Sun
561,Fiona Graham
562,Baile de Verano
563,Sazerac
564,Tahitian Fix
565,Full of Bologna
566,Cherry Blossom Martini
567,Mango No. 3
568,No.3 Bramble
569,Tamaulipas Margarita
570,Spiced Marmalade
571,The King and Tonic
572,Rudolph's Rose
573,The Cappa
574,The Sun Also Rises
575,Amaretto Rose
576,Endless Summer
577,Bitter Valencia
578,Heard It Through The Grapevine
579,Pisco Punch (Adaptation by The Comstock Saloon)
580,Salty Swede
581,Profundo
582,Kerouac
583,Fernet Frappe
584,OH Snap!
585,Club Med
586,Space Age Pop
587,Basil Gin and Tonic
588,The Chief
589,The Stand By
590,Don't Rock the Boat Punch
591,Day For Night
592,The Naughty & Nice
593,Mayahuel's Revenge
594,La Capilla
595,Mack's Apple
596,The Ginger Royale
597,Winter Season
598,Bermuda Highball
599,Motel Nacional
600,See ya Amaro!
601,Kanazawa
602,A Mi Manera (My Way) Pisco Punch
603,Last Word
604,Padova Collins
605,Mezcal Coffee Old Fashioned
606,Chapman Cobbler
607,The Reserved King
608,Figge bout it
609,The Palace Cellar
610,Cafe Creole
611,The Seniorita
612,Pink & Black
613,Bay Shandy
614,Erasmus' Revenge
615,Amaretto Sour BV-Style
616,Buster Crusta
617,Golden Gun
618,Gin n' Celery
619,Margarita Ahumeada
620,Ode to Kinshi
621,The King's Queen
622,Kumquat Smash
623,Luxardo Sour
624,King's Toddy
625,Daisy Mae
626,Port's North Fogcutter Cup
627,The Monte Rua
628,Flip the Bird
629,Flambeed Brandy Alexander
630,Mott and Mulberry
631,Fortune & Glory
632,The Double Crown
633,Blood & Sand
634,Cream of the Crop
635,Nikka's Golden Cherry
636,Vesper's Sister
637,Beachcomber
638,Parisian Manhattan
639,A Love Song
640,3 & Tree 
641,Dutch Stories
642,The Fritz
643,Piedra de sol
644,Delicious in Mauritius
645,Ginger Pigeon
646,Venetian
647,San Francisco Harvest
648,The Rusty Tack
649,Snow Bunny
650,Assemble Mule
651,Drops of Jupiter
