,index,ingredient_type
1385,1441,spice
1386,1442,whiskey
1387,1443,liqueur
1388,1444,bitters
1389,1445,rum
1390,1446,liqueur
1391,1447,syrup
1392,1448,citrus
1393,1449,beer
1394,1450,citrus
1395,1451,spice
1396,1452,rum
1397,1453,syrup
1398,1454,citrus
1399,1455,liqueur
1400,1456,beer
1401,1457,citrus
1402,1458,spice
1403,1459,liqueur
1404,1460,fruit
1405,1461,citrus
1406,1462,fruit
1407,1463,wine
1408,1464,liqueur
1409,1465,fruit
1410,1466,citrus
1411,1467,fruit
1412,1468,tequila
1413,1469,liqueur
1414,1470,cold
1415,1471,citrus
1416,1472,syrup
1417,1473,spice
1418,1474,herbal
1419,1475,whiskey
1420,1476,nut
1421,1478,liqueur
1422,1479,wine
1423,1480,tea
1424,1481,citrus
1425,1482,syrup
1426,1483,fruit
1427,1484,mixer
1428,1485,sugar
1429,1486,fruit
1430,1487,vodka
1431,1488,bitters
1432,1489,liqueur
1433,1490,bitters
1434,1491,citrus
1435,1492,herbal
1436,1493,mixer
1437,1494,gin
1438,1495,liqueur
1439,1496,liqueur
1440,1497,liqueur
1441,1498,fruit
1442,1499,rum
1443,1500,gin
1444,1501,liqueur
1445,1502,liqueur
1446,1503,citrus
1447,1504,fruit
1448,1505,fruit
1449,1507,grain
1450,1508,liqueur
1451,1509,citrus
1452,1510,syrup
1453,1511,egg
1454,1512,spice
1455,1513,whiskey
1456,1514,liqueur
1457,1515,bitters
1458,1516,citrus
1459,1517,gin
1460,1518,liqueur
1461,1519,liqueur
1462,1520,citrus
1463,1521,syrup
1464,1522,citrus
1465,1523,gin
1466,1524,wine
1467,1525,citrus
1468,1526,spice
1469,1527,egg
1470,1528,herbal
1471,1529,gin
1472,1530,liqueur
1473,1531,citrus
1474,1532,syrup
1475,1533,cold
1476,1535,fruit
1477,1537,whiskey
1478,1538,liqueur
1479,1539,citrus
1480,1540,citrus
1481,1541,egg
1482,1542,wine
1483,1543,wine
1484,1544,citrus
1485,1545,cognac
1486,1546,liqueur
1487,1547,liqueur
1488,1548,bitters
1489,1549,nut
1490,1550,liqueur
1491,1551,nut
1492,1552,nut
1493,1553,beer
1494,1554,wine
1495,1555,fruit
1496,1556,herbal
1497,1557,whiskey
1498,1558,wine
1499,1559,liqueur
1500,1560,mixer
1501,1561,gin
1502,1562,mixer
1503,1563,mixer
1504,1564,gin
1505,1565,liqueur
1506,1566,liqueur
1507,1567,citrus
1508,1568,liqueur
1509,1569,citrus
1510,1570,wine
1511,1571,fruit
1512,1572,fruit
1513,1573,brandy
1514,1575,citrus
1515,1576,egg
1516,1577,whiskey
1517,1578,liqueur
1518,1579,herbal
1519,1580,citrus
1520,1581,liqueur
1521,1582,citrus
1522,1583,fruit
1523,1584,syrup
1524,1585,brandy
1525,1586,wine
1526,1587,liqueur
1527,1588,citrus
1528,1589,vegetable
1529,1590,herbal
1530,1592,liqueur
1531,1593,citrus
1532,1594,mixer
1533,1595,herbal
1534,1596,bitters
1535,1597,brandy
1536,1598,liqueur
1537,1599,herbal
1538,1600,liqueur
1539,1601,liqueur
1540,1602,liqueur
1541,1603,wine
1542,1604,mixer
1543,1605,herbal
1544,1606,gin
1545,1607,citrus
1546,1608,liqueur
1547,1609,cream
1548,1610,citrus
1549,1611,mixer
1550,1612,liqueur
1551,1613,champagne
1552,1614,liqueur
1553,1615,champagne
1554,1616,liqueur
1555,1618,mixer
1556,1619,rum
1557,1620,gin
1558,1621,vodka
1559,1622,liqueur
1560,1623,wine
1561,1624,bitters
1562,1625,liqueur
1563,1626,liqueur
1564,1627,cold
1565,1628,citrus
1566,1629,grain
1567,1630,liqueur
1568,1632,bitters
1569,1633,gin
1570,1634,wine
1571,1635,liqueur
1572,1636,whiskey
