tConst,title,year,rating,votes
tt0011318,Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,1920,3.3,14.0
tt0011325,If I Were King,1920,6.9,8.0
tt0011344,The Jack-Knife Man,1920,6.8,96.0
tt0011350,Jes' Call Me Jim,1920,6.8,9.0
tt0011358,Just Pals,1920,6.7,315.0
tt0011368,Kismet,1920,6.5,20.0
tt0011369,The Monastery's Hunter,1920,6.1,112.0
tt0011370,Klostret i Sendomir,1920,6.8,308.0
tt0011371,Kohlhiesel's Daughters,1920,6.7,249.0
tt0011396,The Leopard Woman,1920,6.1,27.0
tt0011414,The Love Expert,1920,5.0,133.0
tt0011415,The Love Flower,1920,6.3,98.0
tt0011433,A Man from Nowhere,1920,3.2,19.0
tt0011440,Markens grøde,1921,6.6,188.0
tt0011459,Mid-Channel,1920,6.0,22.0
tt0011499,Mästerman,1920,7.1,61.0
tt0011530,An Old Fashioned Boy,1920,7.0,7.0
tt0011565,The Penalty,1920,7.4,1921.0
tt0011588,Pollyanna,1920,6.5,335.0
tt0011604,The Prince and the Pauper,1920,5.7,12.0
tt0011623,The Restless Sex,1920,6.1,148.0
tt0011624,The Revenge of Tarzan,1920,4.9,31.0
tt0011641,Romeo and Juliet in the Snow,1920,6.5,146.0
tt0011651,Sand,1920,7.1,36.0
tt0011652,The Saphead,1920,6.2,1354.0
tt0011679,Sex,1920,6.1,255.0
tt0011694,Silk Husbands and Calico Wives,1920,7.4,8.0
tt0011717,The Son of Tarzan,1920,5.6,73.0
tt0011723,The Spiders - Episode 2: The Diamond Ship,1920,6.4,728.0
tt0011741,Suds,1920,6.3,204.0
tt0011742,Sumurun,1920,6.1,595.0
tt0011779,The Toll Gate,1920,6.5,182.0
tt0011805,Under Crimson Skies,1920,4.5,11.0
tt0011833,From Morn to Midnight,1920,6.9,399.0
tt0011841,Way Down East,1920,7.5,4787.0
tt0011848,What Happened to Rosa,1920,6.8,76.0
tt0011858,Whispering Devils,1920,5.3,7.0
tt0011874,A Woman in Grey,1920,6.7,38.0
tt0011880,The Wonder Man,1920,6.9,11.0
