mCategoryId,tConst,genreId
429,tt0009580,14
430,tt0009600,4
431,tt0009600,3
432,tt0009600,0
433,tt0009611,11
434,tt0009611,8
435,tt0009630,3
436,tt0009650,14
437,tt0009651,3
438,tt0009652,3
439,tt0009677,3
440,tt0009677,9
441,tt0009690,14
442,tt0009696,14
443,tt0009701,4
444,tt0009701,12
445,tt0009737,3
446,tt0009737,8
447,tt0009757,3
448,tt0009771,19
449,tt0009790,3
450,tt0009811,11
451,tt0009811,14
452,tt0009827,3
453,tt0009827,8
454,tt0009837,11
455,tt0009837,14
456,tt0009858,3
457,tt0009859,14
458,tt0009879,11
459,tt0009879,3
460,tt0009892,3
461,tt0009892,6
462,tt0009892,0
463,tt0009893,11
464,tt0009894,16
465,tt0009894,2
466,tt0009903,14
467,tt0009915,3
468,tt0009915,9
469,tt0009915,8
470,tt0009922,4
471,tt0009922,11
472,tt0009950,3
473,tt0009968,3
474,tt0009968,0
475,tt0009969,3
476,tt0009991,16
477,tt0009991,4
478,tt0009991,2
479,tt0010010,11
480,tt0010010,3
481,tt0010040,11
482,tt0010040,3
483,tt0010058,11
484,tt0010058,3
485,tt0010061,1
486,tt0010061,3
487,tt0010102,2
488,tt0010102,3
489,tt0010103,3
490,tt0010112,3
491,tt0010113,11
492,tt0010131,3
493,tt0010137,3
494,tt0010180,10
495,tt0010193,3
496,tt0010198,11
497,tt0010198,2
498,tt0010198,14
499,tt0010206,11
500,tt0010219,4
501,tt0010219,11
502,tt0010219,0
503,tt0010229,3
504,tt0010229,0
505,tt0010229,14
506,tt0010247,3
507,tt0010247,6
508,tt0010248,0
509,tt0010248,9
510,tt0010259,4
511,tt0010259,2
512,tt0010259,3
513,tt0010276,3
514,tt0010276,0
515,tt0010292,11
516,tt0010307,3
517,tt0010307,13
518,tt0010307,8
519,tt0010315,11
520,tt0010315,3
521,tt0010323,7
522,tt0010323,13
523,tt0010323,12
524,tt0010330,3
525,tt0010331,11
526,tt0010331,0
527,tt0010331,14
528,tt0010356,4
529,tt0010356,13
530,tt0010356,0
531,tt0010357,16
532,tt0010357,4
533,tt0010357,2
534,tt0010386,3
535,tt0010386,8
536,tt0010408,16
537,tt0010408,4
538,tt0010408,3
539,tt0010419,16
540,tt0010419,4
541,tt0010419,3
542,tt0010432,4
543,tt0010432,3
544,tt0010432,0
545,tt0010444,3
546,tt0010466,3
547,tt0010476,16
548,tt0010476,4
549,tt0010476,2
550,tt0010484,3
551,tt0010501,3
552,tt0010502,13
553,tt0010534,3
554,tt0010559,3
555,tt0010559,6
556,tt0010559,13
557,tt0010596,3
558,tt0010600,11
559,tt0010600,7
560,tt0010622,4
561,tt0010622,3
562,tt0010622,0
563,tt0010629,14
564,tt0010630,3
565,tt0010640,11
566,tt0010640,14
567,tt0010641,3
568,tt0010641,0
569,tt0010662,4
570,tt0010662,0
571,tt0010662,14
572,tt0010680,3
573,tt0010680,0
574,tt0010703,14
575,tt0010726,4
576,tt0010726,14
577,tt0010733,16
578,tt0010733,14
579,tt0010755,3
580,tt0010755,0
581,tt0010781,16
582,tt0010781,4
583,tt0010781,0
584,tt0010793,13
585,tt0010806,11
586,tt0010806,3
587,tt0010806,0
588,tt0010821,7
589,tt0010821,13
590,tt0010821,12
591,tt0010822,3
592,tt0010822,8
593,tt0010847,3
594,tt0010853,14
595,tt0010879,16
596,tt0010879,11
597,tt0010879,0
598,tt0010900,4
599,tt0010900,3
600,tt0010900,0
601,tt0010920,3
602,tt0010942,12
603,tt0010949,4
604,tt0010949,3
605,tt0010949,6
606,tt0010962,1
607,tt0010962,3
608,tt0010962,0
609,tt0010965,16
610,tt0010965,4
611,tt0010965,7
612,tt0010969,4
613,tt0010969,7
614,tt0010969,12
615,tt0011000,3
616,tt0011025,3
617,tt0011045,3
618,tt0011070,11
619,tt0011070,3
620,tt0011076,3
621,tt0011094,3
622,tt0011094,13
623,tt0011114,3
624,tt0011118,3
625,tt0011128,11
626,tt0011131,3
627,tt0011131,13
628,tt0011131,17
629,tt0011133,16
630,tt0011133,0
631,tt0011133,14
632,tt0011172,3
633,tt0011173,2
634,tt0011173,3
635,tt0011173,0
636,tt0011197,4
637,tt0011197,3
638,tt0011197,6
639,tt0011217,3
640,tt0011228,3
641,tt0011234,11
642,tt0011234,3
643,tt0011234,13
644,tt0011256,11
645,tt0011257,3
646,tt0011294,3
647,tt0011302,3
648,tt0011317,3
649,tt0011318,13
650,tt0011318,12
651,tt0011325,3
652,tt0011344,3
653,tt0011350,3
654,tt0011358,11
655,tt0011358,3
656,tt0011358,14
657,tt0011368,3
658,tt0011369,3
659,tt0011370,3
660,tt0011371,11
661,tt0011371,0
662,tt0011396,4
663,tt0011414,11
664,tt0011414,0
665,tt0011415,3
666,tt0011433,16
667,tt0011433,4
668,tt0011433,14
669,tt0011440,3
670,tt0011459,3
671,tt0011459,0
672,tt0011499,3
673,tt0011522,11
674,tt0011522,3
675,tt0011530,11
676,tt0011530,0
677,tt0011565,2
678,tt0011565,3
679,tt0011565,13
680,tt0011588,11
681,tt0011588,3
682,tt0011588,5
683,tt0011604,3
